690 1.000
692 1.000
694 1.000
696 1.000
698 1.000
700 1.000
702 1.000
704 1.000
706 0.990
708 0.990
710 0.970
712 0.960
714 0.960
716 0.920
718 0.900
720 0.810
722 0.830
724 0.780
726 0.760
728 0.660
730 0.690
732 0.580
734 0.510
736 0.470
738 0.420
740 0.440
742 0.300
744 0.360
746 0.260
748 0.220
750 0.200
752 0.160
754 0.130
756 0.120
758 0.150
760 0.140
762 0.080
764 0.090
766 0.030
768 0.070
770 0.060
772 0.030
774 0.040
776 0.060
778 0.020
780 0.040
782 0.040
784 0.010
786 0.010
788 0.000
790 0.010
792 0.000
794 0.010
796 0.000
798 0.000
800 0.000

